date	6200-new	6200-cumulative	8000-new	8000-cumulative
April 18, 2017	0"	417"	5"	705"
April 14, 2017	4"	417"	8"	700"
April 13, 2017	2"	413"	6"	692"
April 12, 2017	0"	411"	1"	686"
Sunday April 9, 2017	1"	411"	3"	685"
Saturday April 8, 2017	8"	410"	13"	682"
April 7, 2017	2"	402"	12"	669"
March 31, 2017	1"	400"	3"	657"
March 27, 2017	3"	399"	7"	654"
March 25, 2017	4"	396"	9"	647"
March 23, 2017	3"	392"	7"	638"
March 22, 2017	2"	389"	6"	632"
March 21, 2017	0"	387"	2"	625"
March 7, 2017	4"	387"	7"	623"
March 6, 2017	24"	383"	31"	616"
March 5, 2017	9"	359"	10"	585"
February 27, 2017	4"	350"	6"	575"
February 25, 2017	2"	346"	3"	569"
February 23, 2017	2"	344"	5"	566"
February 22, 2017	21"	342"	22"	561"
February 21, 2017	18"	321"	28"	539"
February 20, 2017	3"	303"	8"	511"
February 19, 2017	2"	300"	7"	503"
February 18, 2017	9"	298"	12"	496"
February 17, 2017	4"	289"	8"	484"
February 11, 2017	6"	285"	9"	476"
February 10, 2017	9"	279"	32"	467"
February 7, 2017	9"	270"	20"	435"
February 6, 2017	4"	261"	6"	415"
February 5, 2017	1"	257"	2"	409"
February 4, 2017	6"	256"	20"	407"
February 3, 2017	0"	250"	7"	387"
February 2, 2017	0"	250"	1"	380"
January 26, 2017	0"	250"	1"	379"
January 24, 2017	4"	250"	5"	378"
January 23, 2017	20"	246"	29"	373"
January 22, 2017	10"	226"	16"	344"
January 21, 2017	15"	216"	19"	328"
January 20, 2017	11"	201"	13"	309"
January 19, 2017	13"	190"	15"	296"
January 13, 2017	9"	177"	10"	281"
January 12, 2017	5"	168"	9"	271"
January 11, 2017	31"	163"	37"	262"
January 10, 2017	22"	132"	27"	225"
January 9, 2017	1"	110"	3"	198"
January 8, 2017	0"	109"	11"	195"
January 5, 2017	16"	109"	30"	184"
January 4, 2017	15"	93"	23"	154"
January 3, 2017	17"	78"	22"	131"
January 2, 2017	4"	61"	8"	109"
December 25, 2016	6"	57"	8"	101"
December 24, 2016	10"	51"	14"	93"
December 22, 2016	1"	41"	1"	79"
December 17, 2016	1"	40"	3"	78"
December 16, 2016	1"	39"	6"	75"
December 11, 2016	1"	38"	3"	69"
December 8, 2016	1"	37"	3"	66"
November 29, 2016	1"	36"	1"	65"
November 28, 2016	1"	35"	4"	61"
November 27, 2016	13"	34"	15"	57"
November 24, 2016	2"	21"	4"	42"
November 23, 2016	5"	19"	6"	38"
November 21, 2016	3"	14"	4"	32"
November 20, 2016	4"	11"	6"	28"
November 19, 2016	2"	7"	4"	22"
November 17, 2016	2"	5"	4"	18"
November 1, 2016	1"	3"	4"	14"
October 31, 2016	1"	2"	7"	10"
October 3, 2016	1"	1"	3"	3"
May 17, 2018	0"	239"	1"	411"
April 30, 2018	0"	239"	1"	410"
April 17, 2018	5"	239"	6"	409"
April 16, 2018	5"	234"	8"	403"
April 12, 2018	3"	229"	6"	395"
April 6, 2018	0"	226"	1"	389"
March 25, 2018	4"	226"	15"	388"
March 24, 2018	1"	222"	1"	373"
March 23, 2018	1"	221"	12"	372"
March 22, 2018	1"	220"	11"	360"
March 21, 2018	0"	219"	3"	349"
March 18, 2018	3"	219"	8"	346"
March 17, 2018	30"	216"	41"	338"
March 16, 2018	21"	186"	23"	297"
March 15, 2018	15"	165"	16"	274"
March 14, 2018	7"	150"	12"	258"
March 11, 2018	0"	143"	3"	246"
March 4, 2018	9"	143"	10"	243"
March 3, 2018	31"	134"	36"	233"
March 2, 2018	30"	103"	32"	197"
March 1, 2018	7"	73"	4"	165"
February 27, 2018	14"	66"	18"	161"
February 26, 2018	1"	52"	2"	143"
February 25, 2018	0"	51"	1"	141"
February 23, 2018	6"	51"	10"	140"
February 19, 2018	2"	45"	6"	130"
February 13, 2018	1"	43"	2"	124"
February 12, 2018	2"	42"	4"	122"
January 26, 2018	9"	40"	12"	118"
January 25, 2018	12"	31"	12"	106"
January 23, 2018	0"	19"	1"	94"
January 22, 2018	1"	19"	1"	93"
January 20, 2018	0"	18"	1"	92"
January 19, 2018	6"	18"	10"	91"
January 17, 2018	0"	12"	1"	81"
January 11, 2018	0"	12"	1"	80"
January 10, 2018	0"	12"	1"	79"
January 9, 2018	0"	12"	3"	78"
January 7, 2018	0"	12"	1"	75"
January 6, 2018	0"	12"	4"	74"
January 4, 2018	0"	12"	1"	70"
December 20, 2017	4"	12"	5"	69"
December 4, 2017	0"	8"	1"	64"
December 3, 2017	2"	8"	4"	63"
November 28, 2017	0"	6"	2"	59"
November 27, 2017	2"	6"	7"	57"
November 18, 2017	0"	4"	2"	50"
November 17, 2017	1"	4"	7"	48"
November 16, 2017	0"	3"	12"	41"
November 15, 2017	0"	3"	2"	29"
November 14, 2017	0"	3"	5"	27"
November 10, 2017	0"	3"	1"	22"
November 9, 2017	0"	3"	2"	21"
November 5, 2017	0"	3"	7"	19"
November 4, 2017	0"	3"	3"	12"
November 3, 2017	0"	3"	2"	9"
October 20, 2017	1"	3"	3"	7"
September 22, 2017	1"	2"	1"	4"
September 21, 2017	1"	1"	3"	3"
December 5, 2019	1"	39"	4"	84"
December 3, 2019	0"	38"	5"	80"
December 2, 2019	6"	38"	28"	75"
December 1, 2019	2"	32"	9"	47"
November 30, 2019	6"	30"	7"	38"
November 29, 2019	6"	24"	6"	31"
November 28, 2019	6"	18"	7"	25"
November 27, 2019	12"	12"	18"	18"
